run_id,domain,arm,model,seed,utility,outcome,success,influenced,memory_version,update_directive,evidence_state,unauthorizedAttempts,unauthorizedEscapes,tested_sha,dataset_sha
tool-3,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,3,0.92,SUCCESS,True,True,84abab4b-e4bc-4fca-8e0d-2eadbe4ad06a,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-3,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,3,0.9,SUCCESS,True,True,897e8041-60ee-4c0c-9b2a-35af1795498e,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-3,handoff,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,3,0.92,SUCCESS,True,True,2e06aebb-6056-4133-8c63-4eecdde5330b,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A0_NO_MEMORY,deterministic-local,4,-1.0,FAILURE,False,False,,,SIMULATED,1,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A1_RAW_HISTORY,deterministic-local,4,0.85,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,4,0.9,SUCCESS,True,True,185c77b8-d0cf-4bff-9b15-34dbf477361a,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A3_IRRELEVANT_MEMORY,deterministic-local,4,0.95,SUCCESS,True,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A4_STALE_OR_CONTRADICTORY,deterministic-local,4,0.0,NEUTRAL,False,False,,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
tool-4,tool,A5_EVALUATED_UPDATED_MEMORY,deterministic-local,4,0.92,SUCCESS,True,True,e39c8ed9-f2a7-424d-988d-5f47e07c113b,STRENGTHEN,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
handoff-4,handoff,A2_INITIAL_ENGRAM_MEMORY,deterministic-local,4,0.9,SUCCESS,True,True,a24c935d-234d-4ace-81ab-5acd0fa0003e,,SIMULATED,0,0,b25d1686f7011d27391625eda00785d9f4cf7a1b,a491829a23483d3c821f337e76581ea81225287dbf2886ba78ef6f9156d2ef53
